Industry,Gender,Education,Avg_Salary
"Art & Design",Other,"College degree",63666.67
"Information Services",Woman,"College degree",63890.67
Nonprofits,Woman,"College degree",63927.76
Mining,Man,"College degree",64000.00
Politics,Non-binary,"College degree",64000.00
"Community Foundation",Woman,"College degree",64000.00
HRO,Woman,"College degree",64000.00
"Science ",Woman,"College degree",64018.50
Unknown,Woman,"College degree",64298.76
"Quality Assurance",Woman,"College degree",64500.00
"Customer Service",Woman,PhD,64500.00
"Education (Primary/Secondary)",Non-binary,"Master's degree",64619.88
Law,Woman,"College degree",64651.40
"Education (Other)",Woman,"College degree",64685.71
"Education (Higher Education)",Man,"Master's degree",64775.27
"Health care",Other,"College degree",64788.50
"Video games",Woman,"College degree",64910.00
Facilities,Woman,"Master's degree",65000.00
Cannabis,Man,"College degree",65000.00
"Research and Development ",Woman,PhD,65000.00
Forensics,Woman,"College degree",65000.00
"Art & Design",Woman,"Professional degree (MD, JD, etc)",65000.00
"Repair facility for heavy duty trucks",Other,"High School",65000.00
Music,Man,"College degree",65000.00
Philanthropy,Woman,PhD,65000.00
"Product Management ",Woman,"College degree",65000.00
Counselling,Woman,"Master's degree",65000.00
Publishing,"Prefer not to answer","College degree",65000.00
Automotive,Man,"College degree",65000.00
Law,Man,"High School",65000.00
"Education (Higher Education)",Woman,"Master's degree",65053.17
"Law Enforcement & Security",Woman,"College degree",65258.65
"Marketing, Advertising & PR",Other,"College degree",65333.33
"Education (Higher Education)",Other,"Professional degree (MD, JD, etc)",65386.00
Sales,Woman,"College degree",65664.03
"Print Publishing",Woman,"College degree",65715.00
"Payment Processing",Woman,"College degree",65842.50
"Political Campaigns",Woman,"College degree",65900.00
"Public Health Research",Non-binary,"Master's degree",65949.00
Medical,Non-binary,"Master's degree",66000.00
Freelance,Man,"College degree",66000.00
"Professional Services",Woman,"Master's degree",66166.67
"Biomedical Research",Woman,"College degree",66250.00
Research,Woman,"Master's degree",66348.12
Library,Woman,PhD,66500.00
"Science ",Woman,"Master's degree",66562.50
Marketing,Woman,"Master's degree",66571.43
Environmental,Man,"College degree",66600.00
"Media & Digital",Woman,"High School",66634.00
"Food and Beverage",Man,"Master's degree",66750.00
Gambling,Woman,"College degree",66820.00
"Health care",Woman,"College degree",66849.40
"Property or Construction",Woman,"College degree",66900.06
